sample,original vs,unique mapped read 1,unique mapped read 2,intersected,reads,rp,r_p,r_pe,rp_e,rp_c,rc_p,r_pc,rpc_e,rce_p,rc_pe
ERR009309_1_2,o,16657641,16657641,16657641,16657641,16657641,0,0,0,0,0,0,0,0,0
ERR009309_1_2,s1,16657641,16657641,16657641,16657641,16657641,0,0,0,0,0,0,0,0,0
ERR009309_1_2,s2,16657641,16657641,16657641,16657641,16657641,0,0,0,0,0,0,0,0,0
ERR009309_1_2,s3,16657641,16657641,16657641,16657641,16657641,0,0,0,0,0,0,0,0,0
ERR009309_1_2,rv,16657641,9043609,8959833,8959936,8959833,103,74,0,0,103,0,0,29,74
ERR181410_1_2,o,36803493,36803493,36803493,36803493,36803493,0,0,0,0,0,0,0,0,0
ERR181410_1_2,s1,36803493,36803493,36803493,36803493,36803493,0,0,0,0,0,0,0,0,0
ERR181410_1_2,s2,36803493,36803493,36803493,36803493,36803493,0,0,0,0,0,0,0,0,0
ERR181410_1_2,s3,36803493,36803493,36803493,36803493,36803493,0,0,0,0,0,0,0,0,0
ERR181410_1_2,rv,36803493,36137879,36084960,36085008,36084960,48,29,0,0,48,0,0,19,29
ERR183377_1_2,o,30496511,30496511,30496511,30496511,30496511,0,0,0,0,0,0,0,0,0
ERR183377_1_2,s1,30496511,30496511,30496511,30496511,30496511,0,0,0,0,0,0,0,0,0
ERR183377_1_2,s2,30496511,30496511,30496511,30496511,30496511,0,0,0,0,0,0,0,0,0
ERR183377_1_2,s3,30496511,30496511,30496511,30496511,30496511,0,0,0,0,0,0,0,0,0
ERR183377_1_2,rv,30496511,30221357,30184339,30184378,30184339,39,16,0,0,39,0,0,23,16
